DX_type,Infection_DX
ICD9,"015.13 Tuberculosis of hip, tubercle bacilli found (in sputum) by microscopy"
ICD9,"015.14 Tuberculosis of hip, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"015.15 Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"015.16 Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"015.20 Tuberculosis of knee, unspecified"
ICD9,"015.21 Tuberculosis of knee, bacteriological or histological examination not done"
ICD9,"015.22 Tuberculosis of knee, bacteriological or histological examination unknown (at present)"
ICD9,"015.23 Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy"
ICD9,"015.24 Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"015.25 Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"015.26 Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"015.50 Tuberculosis of limb bones, unspecified"
ICD9,"015.51 Tuberculosis of limb bones, bacteriological or histological examination not done"
ICD9,"015.52 Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)"
ICD9,"015.53 Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy"
ICD9,"015.54 Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"015.55 Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"015.56 Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"015.60 Tuberculosis of mastoid, unspecified"
ICD9,"015.61 Tuberculosis of mastoid, bacteriological or histological examination not done"
ICD9,"015.62 Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)"
ICD9,"015.63 Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy"
ICD9,"015.64 Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"015.65 Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"015.66 Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
