DX_type,Infection_DX
ICD9,"011.04 Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"011.05 Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.06 Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"011.10 Tuberculosis of lung, nodular, unspecified"
ICD9,"011.11 Tuberculosis of lung, nodular, bacteriological or histological examination not done"
ICD9,"011.12 Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
ICD9,"011.13 Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
ICD9,"011.14 Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"011.15 Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.16 Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"011.20 Tuberculosis of lung with cavitation, unspecified"
ICD9,"011.21 Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
ICD9,"011.22 Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
ICD9,"011.23 Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
ICD9,"011.24 Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"011.25 Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.26 Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"011.30 Tuberculosis of bronchus, unspecified"
ICD9,"011.31 Tuberculosis of bronchus, bacteriological or histological examination not done"
ICD9,"011.32 Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
ICD9,"011.33 Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
ICD9,"011.34 Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
ICD9,"011.35 Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.36 Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"011.40 Tuberculous fibrosis of lung, unspecified"
ICD9,"011.41 Tuberculous fibrosis of lung, bacteriological or histological examination not done"
ICD9,"011.42 Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
ICD9,"011.43 Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
ICD9,"011.44 Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"011.45 Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.46 Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"011.50 Tuberculous bronchiectasis, unspecified"
ICD9,"011.51 Tuberculous bronchiectasis, bacteriological or histological examination not done"
ICD9,"011.52 Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
ICD9,"011.53 Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"011.54 Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"011.55 Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.56 Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"011.60 Tuberculous pneumonia [any form], unspecified"
ICD9,"011.61 Tuberculous pneumonia [any form], bacteriological or histological examination not done"
ICD9,"011.62 Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
ICD9,"011.63 Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
ICD9,"011.64 Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"011.65 Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.66 Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"011.70 Tuberculous pneumothorax, unspecified"
ICD9,"011.71 Tuberculous pneumothorax, bacteriological or histological examination not done"
ICD9,"011.72 Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
ICD9,"011.73 Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
ICD9,"011.74 Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"011.75 Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.76 Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"011.80 Other specified pulmonary tuberculosis, unspecified"
ICD9,"011.81 Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
ICD9,"011.82 Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
ICD9,"011.83 Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"011.84 Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"011.85 Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.86 Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"011.90 Pulmonary tuberculosis, unspecified, unspecified"
ICD9,"011.91 Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
ICD9,"011.92 Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
ICD9,"011.93 Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
ICD9,"011.94 Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"011.95 Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"011.96 Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"012.00 Tuberculous pleurisy, unspecified"
ICD9,"012.01 Tuberculous pleurisy, bacteriological or histological examination not done"
ICD9,"012.02 Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
ICD9,"012.03 Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
ICD9,"012.04 Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"012.05 Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"012.06 Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"012.10 Tuberculosis of intrathoracic lymph nodes, unspecified"
ICD9,"012.11 Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
ICD9,"012.12 Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
ICD9,"012.13 Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
ICD9,"012.14 Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"012.15 Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"012.16 Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"012.20 Isolated tracheal or bronchial tuberculosis, unspecified"
ICD9,"012.21 Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
ICD9,"012.22 Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
ICD9,"012.23 Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"012.24 Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"012.25 Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"012.26 Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"012.30 Tuberculous laryngitis, unspecified"
ICD9,"012.31 Tuberculous laryngitis, bacteriological or histological examination not done"
ICD9,"012.32 Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
ICD9,"012.33 Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"012.34 Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"012.35 Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"012.36 Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"012.80 Other specified respiratory tuberculosis, unspecified"
ICD9,"012.81 Other specified respiratory tuberculosis, bacteriological or histological examination not done"
ICD9,"012.82 Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
ICD9,"012.83 Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"012.84 Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"012.85 Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"012.86 Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"013.00 Tuberculous meningitis, unspecified"
ICD9,"013.01 Tuberculous meningitis, bacteriological or histological examination not done"
ICD9,"013.02 Tuberculous meningitis, bacteriological or histological examination unknown (at present)"
ICD9,"013.03 Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"013.04 Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"013.05 Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"013.06 Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"013.10 Tuberculoma of meninges, unspecified"
ICD9,"013.11 Tuberculoma of meninges, bacteriological or histological examination not done"
ICD9,"013.12 Tuberculoma of meninges, bacteriological or histological examination unknown (at present)"
ICD9,"013.13 Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy"
ICD9,"013.14 Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"013.15 Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"013.16 Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"013.20 Tuberculoma of brain, unspecified"
ICD9,"013.21 Tuberculoma of brain, bacteriological or histological examination not done"
ICD9,"013.22 Tuberculoma of brain, bacteriological or histological examination unknown (at present)"
ICD9,"013.23 Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy"
ICD9,"013.24 Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"013.25 Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"013.26 Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"013.30 Tuberculous abscess of brain, unspecified"
ICD9,"013.31 Tuberculous abscess of brain, bacteriological or histological examination not done"
ICD9,"013.32 Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)"
ICD9,"013.33 Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy"
ICD9,"013.34 Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"013.35 Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"013.36 Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"013.40 Tuberculoma of spinal cord, unspecified"
ICD9,"013.41 Tuberculoma of spinal cord, bacteriological or histological examination not done"
ICD9,"013.42 Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)"
ICD9,"013.43 Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy"
ICD9,"013.44 Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"013.45 Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"013.46 Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"013.50 Tuberculous abscess of spinal cord, unspecified"
ICD9,"013.51 Tuberculous abscess of spinal cord, bacteriological or histological examination not done"
ICD9,"013.52 Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)"
ICD9,"013.53 Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy"
ICD9,"013.54 Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"013.55 Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"013.56 Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"013.60 Tuberculous encephalitis or myelitis, unspecified"
ICD9,"013.61 Tuberculous encephalitis or myelitis, bacteriological or histological examination not done"
ICD9,"013.62 Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)"
ICD9,"013.63 Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"013.64 Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"013.65 Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"013.66 Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"013.80 Other specified tuberculosis of central nervous system, unspecified"
ICD9,"013.81 Other specified tuberculosis of central nervous system, bacteriological or histological examination not done"
ICD9,"013.82 Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
ICD9,"013.83 Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
ICD9,"013.84 Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"013.85 Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"013.86 Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"013.90 Unspecified tuberculosis of central nervous system, unspecified"
ICD9,"013.91 Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done"
ICD9,"013.92 Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
ICD9,"013.93 Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
ICD9,"013.94 Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"013.95 Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"013.96 Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"014.00 Tuberculous peritonitis, unspecified"
ICD9,"014.01 Tuberculous peritonitis, bacteriological or histological examination not done"
ICD9,"014.02 Tuberculous peritonitis, bacteriological or histological examination unknown (at present)"
ICD9,"014.03 Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy"
ICD9,"014.04 Tuberculous peritonitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"014.05 Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"014.06 Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"014.80 Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified"
ICD9,"014.81 Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done"
ICD9,"014.82 Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)"
ICD9,"014.83 Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy"
ICD9,"014.84 Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"014.85 Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"014.86 Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"015.00 Tuberculosis of vertebral column, unspecified"
ICD9,"015.01 Tuberculosis of vertebral column, bacteriological or histological examination not done"
ICD9,"015.02 Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)"
ICD9,"015.03 Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy"
ICD9,"015.04 Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
ICD9,"015.05 Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
ICD9,"015.06 Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
ICD9,"015.10 Tuberculosis of hip, unspecified"
ICD9,"015.11 Tuberculosis of hip, bacteriological or histological examination not done"
ICD9,"015.12 Tuberculosis of hip, bacteriological or histological examination unknown (at present)"
